Boss,Game,Relation,Species
Kammy Koopa,Paper Mario: The Thousand-Year Door,BOSS_IN,Magikoopa
King Boo,Super Mario 64 DS,BOSS_IN,Big Boo;Boo
King Boo,Mario Kart: Double Dash!!,BOSS_IN,Big Boo;Boo
King Boo,Mario Party 8,BOSS_IN,Big Boo;Boo
King Boo,Luigi's Mansion,BOSS_IN,Big Boo;Boo
King Boo,Mario Superstar Baseball,BOSS_IN,Big Boo;Boo
King Boo,Mario & Sonic at the Olympic Winter Games,BOSS_IN,Big Boo;Boo
King Boo,New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN,Big Boo;Boo
King Boo,Mario Kart DS,BOSS_IN,Big Boo;Boo
King Boo,Mario Party 9,BOSS_IN,Big Boo;Boo
King Boo,Luigi's Mansion: Dark Moon / Luigi's Mansion 2 HD,BOSS_IN,Big Boo;Boo
King Boo,Mario Super Sluggers,BOSS_IN,Big Boo;Boo
King Boo,Mario & Sonic at the London 2012 Olympic Games,BOSS_IN,Big Boo;Boo
King Boo,Super Mario Bros. Wonder,BOSS_IN,Big Boo;Boo
King Boo,Mario Kart Arcade GP 2,BOSS_IN,Big Boo;Boo
King Boo,Mario Party 10,BOSS_IN,Big Boo;Boo
King Boo,Luigi's Mansion Arcade,BOSS_IN,Big Boo;Boo
King Boo,Mario & Sonic at the Sochi 2014 Olympic Winter Games,BOSS_IN,Big Boo;Boo
King Boo,Super Mario Run,BOSS_IN,Big Boo;Boo
King Boo,Mario Kart Wii,BOSS_IN,Big Boo;Boo
King Boo,Mario Party: Star Rush,BOSS_IN,Big Boo;Boo
King Boo,Luigi's Mansion 3,BOSS_IN,Big Boo;Boo
King Boo,Mario Kart 8 Deluxe,BOSS_IN,Big Boo;Boo
King Boo,Mario Party Superstars,BOSS_IN,Big Boo;Boo
King Boo,Mario Kart Arcade GP DX,BOSS_IN,Big Boo;Boo
King Boo,Super Mario Party Jamboree,BOSS_IN,Big Boo;Boo
King Boo,Mario Kart Tour,BOSS_IN,Big Boo;Boo
King Boo,Mario Kart World,BOSS_IN,Big Boo;Boo
King Bob-omb,Mario Kart DS,BOSS_IN,Bob-omb
King Bob-omb,Mario Party 2,BOSS_IN,Bob-omb
King Bob-omb,Mario & Luigi: Paper Jam,BOSS_IN,Bob-omb
King Bob-omb,Mario Golf: Toadstool Tour,BOSS_IN,Bob-omb
