Game,Relation,Figure,Species,Console,Year,Sales
super mario 3d land,ENEMY_IN,fire bar,,3DS,2011,10.81
new super mario bros. 2,ENEMY_IN,fire bar,,3DS,2012,9.9
new super mario bros. u,ENEMY_IN,fire bar,,WiiU,2012,5.22
super mario run,ENEMY_IN,fire bar,,Mobile,2016,
super mario run,ENEMY_IN,fire bar,,Mobile,2017,
super mario bros. wonder,ENEMY_IN,fire bar,,Switch,2023,
super mario bros. 3,ENEMY_IN,fire snake,,NES,1988,22.48
super mario bros. 3,ENEMY_IN,fire snake,,Game & Watch,1990,22.48
mario kart ds,ENEMY_IN,fire snake,,DS,2005,23.21
super mario world,ENEMY_IN,fire snake,,SNES,1990,26.07
super mario world,ENEMY_IN,fire snake,,Arcade,1993,26.07
mario kart wii,ENEMY_IN,fire snake,,Wii,2008,35.52
new super mario bros.,ENEMY_IN,fire snake,,DS,2006,29.8
new super mario bros. wii,ENEMY_IN,fire snake,,Wii,2009,28.32
mario kart world,ENEMY_IN,fire snake,,Switch 2,2025,
new super mario bros. 2,ENEMY_IN,fire snake,,3DS,2012,9.9
mario & luigi: superstar saga + bowser's minions,ENEMY_IN,fire stalking piranha plant,,3DS,2017,
mario & luigi: bowser's inside story + bowser jr.'s journey,ENEMY_IN,fire stalking piranha plant,,3DS,2018,
mario vs. donkey kong,ENEMY_IN,fireball,,GBA,2004,1.17
mario vs. donkey kong,ENEMY_IN,fireball,,Switch,2024,1.17
donkey kong,ENEMY_IN,fireball,,Arcade,1981,5.66
donkey kong,ENEMY_IN,fireball,,Intellivision,1982,5.66
donkey kong,ENEMY_IN,fireball,,ColecoVision,1982,5.66
donkey kong,ENEMY_IN,fireball,,2600,1982,5.66
donkey kong,ENEMY_IN,fireball,,Game & Watch,1982,5.66
donkey kong,ENEMY_IN,fireball,,Other Handheld,1982,5.66
donkey kong,ENEMY_IN,fireball,,PC,1983,5.66
donkey kong,ENEMY_IN,fireball,,Other Computer,1983,5.66
donkey kong,ENEMY_IN,fireball,,Atari 8-bit,1983,5.66
donkey kong,ENEMY_IN,fireball,,NES,1983,5.66
donkey kong,ENEMY_IN,fireball,,Other Computer,1984,5.66
donkey kong,ENEMY_IN,fireball,,PC,1984,5.66
donkey kong,ENEMY_IN,fireball,,PC,1986,5.66
donkey kong,ENEMY_IN,fireball,,Atari 7800,1988,5.66
donkey kong,ENEMY_IN,fireball,,famicom disk system,1988,5.66
donkey kong,ENEMY_IN,fireball,,GB,1994,5.66
donkey kong,ENEMY_IN,fireball,,Game & Watch,1994,5.66
mario vs. donkey kong 2: march of the minis,ENEMY_IN,fireball,,DS,2006,1.19
donkey kong circus,ENEMY_IN,fireball,,Game & Watch,1984,
mario vs. donkey kong: mini-land mayhem!,ENEMY_IN,fireball,,DS,2010,2.67
mario bros.,ENEMY_IN,fireball,,NES,1983,3.87
mario bros.,ENEMY_IN,fireball,,2600,1983,3.87
mario bros.,ENEMY_IN,fireball,,Game & Watch,1983,3.87
mario bros.,ENEMY_IN,fireball,,Arcade,1983,3.87
mario bros.,ENEMY_IN,fireball,,PC,1984,3.87
mario bros.,ENEMY_IN,fireball,,Atari 7800,1988,3.87
mario bros.,ENEMY_IN,fireball,,Atari 8-bit,1988,3.87
super mario galaxy,ENEMY_IN,fireball,,Wii,2007,11.35
mario bros. special,ENEMY_IN,fireball,,PC,1984,
super mario galaxy 2,ENEMY_IN,fireball,,Wii,2010,7.51
punch ball mario bros.,ENEMY_IN,fireball,,PC,1984,
super mario bros. wonder,ENEMY_IN,fireball,,Switch,2023,
mario clash,ENEMY_IN,fireball,,Virtual Boy,1995,
super mario world,ENEMY_IN,fishing boo,,SNES,1990,26.07
super mario world,ENEMY_IN,fishing boo,,Arcade,1993,26.07
super mario run,ENEMY_IN,fishing boo,,Mobile,2016,
super mario run,ENEMY_IN,fishing boo,,Mobile,2017,
mario kart 7,ENEMY_IN,fish bone,,3DS,2011,12.66
mario party 4,ENEMY_IN,fish bone,,GC,2002,2.47
mario & luigi: bowser's inside story,ENEMY_IN,fish bone,,DS,2009,3.77
new super mario bros. wii,ENEMY_IN,fish bone,,Wii,2009,28.32
mario party 9,ENEMY_IN,fish bone,,Wii,2012,3.13
mario & luigi: dream team,ENEMY_IN,fish bone,,3DS,2013,2.08
new super mario bros. 2,ENEMY_IN,fish bone,,3DS,2012,9.9
mario kart tour,ENEMY_IN,fish bone,,Mobile,2019,
mario party 10,ENEMY_IN,fish bone,,WiiU,2015,1.58
mario kart live: home circuit,ENEMY_IN,fish bone,,Switch,2020,
super mario party,ENEMY_IN,fish bone,,Switch,2018,
mario kart world,ENEMY_IN,fish bone,,Switch 2,2025,
super mario party jamboree,ENEMY_IN,fish bone,,Switch,2024,
super mario run,ENEMY_IN,fish bone,,Mobile,2016,
super mario run,ENEMY_IN,fish bone,,Mobile,2017,
super mario maker 2,ENEMY_IN,fish bone,,Switch,2019,
mario kart ds,ENEMY_IN,fire piranha plant,,DS,2005,23.21
mario vs. donkey kong 2: march of the minis,ENEMY_IN,fire piranha plant,,DS,2006,1.19
paper mario,ENEMY_IN,fire piranha plant,,N64,2000,1.38
super mario land 2: 6 golden coins,ENEMY_IN,fire piranha plant,,GB,1992,11.18
mario vs. donkey kong: minis march again!,ENEMY_IN,fire piranha plant,,DS,2009,
paper mario: sticker star,ENEMY_IN,fire piranha plant,,3DS,2012,2.3
mario kart tour,ENEMY_IN,fire piranha plant,,Mobile,2019,
mario vs. donkey kong: mini-land mayhem!,ENEMY_IN,fire piranha plant,,DS,2010,2.67
paper mario: color splash,ENEMY_IN,fire piranha plant,,WiiU,2016,0.42
new super mario bros.,ENEMY_IN,fire piranha plant,,DS,2006,29.8
mario kart 8 deluxe,ENEMY_IN,fire piranha plant,,Switch,2017,
mario vs. donkey kong: tipping stars,ENEMY_IN,fire piranha plant,,WiiU,2015,0.06999999999999999
mario kart world,ENEMY_IN,fire piranha plant,,Switch 2,2025,
new super mario bros. wii,ENEMY_IN,fire piranha plant,,Wii,2009,28.32
super mario 3d land,ENEMY_IN,fire piranha plant,,3DS,2011,10.81
new super mario bros. 2,ENEMY_IN,fire piranha plant,,3DS,2012,9.9
super mario odyssey,ENEMY_IN,fire piranha plant,,Switch,2017,
super mario maker 2,ENEMY_IN,fire piranha plant,,Switch,2019,
super mario bros. wonder,ENEMY_IN,fire piranha plant,,Switch,2023,
super mario bros. 3,ENEMY_IN,flame chomp,,NES,1988,22.48
super mario bros. 3,ENEMY_IN,flame chomp,,Game & Watch,1990,22.48
new super mario bros.,ENEMY_IN,flame chomp,,DS,2006,29.8
new super mario bros. wii,ENEMY_IN,flame chomp,,Wii,2009,28.32
new super mario bros. 2,ENEMY_IN,flame chomp,,3DS,2012,9.9
bs super mario usa,ENEMY_IN,flurry,,SNES,1996,
super mario advance 4: super mario bros. 3,ENEMY_IN,flurry,,GBA,2003,
new super mario bros. wii,ENEMY_IN,foo,,Wii,2009,28.32
mario party,ENEMY_IN,fly guy,,N64,1998,2.7
mario & luigi: partners in time,ENEMY_IN,fly guy,,DS,2005,1.29
super smash bros.,ENEMY_IN,fly guy,,N64,1999,5.55
mario tennis,ENEMY_IN,fly guy,,GBC,2000,3.59
mario tennis,ENEMY_IN,fly guy,,N64,2000,3.59
new super mario bros.,ENEMY_IN,fly guy,,DS,2006,29.8
mario party 2,ENEMY_IN,fly guy,,N64,1999,2.5
mario & luigi: dream team,ENEMY_IN,fly guy,,3DS,2013,2.08
super smash bros. melee,ENEMY_IN,fly guy,,GC,2001,14.14
yoshi's story,ENEMY_IN,fly guy,,N64,1997,2.85
mario golf: world tour,ENEMY_IN,fly guy,,3DS,2014,0.48
mario party 4,ENEMY_IN,fly guy,,GC,2002,2.47
mario & luigi: paper jam,ENEMY_IN,fly guy,,3DS,2015,0.76
super smash bros. brawl,ENEMY_IN,fly guy,,Wii,2008,12.84
yoshi topsy-turvy,ENEMY_IN,fly guy,,GBA,2004,0.65
mario golf: super rush,ENEMY_IN,fly guy,,Switch,2021,
mario tennis aces,ENEMY_IN,fly guy,,Switch,2018,
mario party 6,ENEMY_IN,fly guy,,GC,2004,1.65
mario & luigi: superstar saga + bowser's minions,ENEMY_IN,fly guy,,3DS,2017,
super smash bros. for nintendo 3ds,ENEMY_IN,fly guy,,3DS,2014,
yoshi touch & go,ENEMY_IN,fly guy,,DS,2005,0.38
mario party advance,ENEMY_IN,fly guy,,GBA,2005,0.98
mario & luigi: bowser's inside story + bowser jr.'s journey,ENEMY_IN,fly guy,,3DS,2018,
super smash bros. ultimate,ENEMY_IN,fly guy,,Switch,2018,
yoshi's island ds,ENEMY_IN,fly guy,,DS,2006,2.76
mario party 7,ENEMY_IN,fly guy,,GC,2005,1.57
yoshi's new island,ENEMY_IN,fly guy,,3DS,2014,1.38
mario party 8,ENEMY_IN,fly guy,,Wii,2007,8.27
mario party: island tour,ENEMY_IN,fly guy,,3DS,2013,1.92
yoshi's crafted world,ENEMY_IN,fly guy,,Switch,2019,
super mario party,ENEMY_IN,fly guy,,Switch,2018,
mario party superstars,ENEMY_IN,fly guy,,Switch,2021,
mario kart: double dash!!,ENEMY_IN,freezie,,GC,2003,13.9
mario kart live: home circuit,ENEMY_IN,freezie,,Switch,2020,
mario kart world,ENEMY_IN,freezie,,Switch 2,2025,
super mario odyssey,ENEMY_IN,flutter,,Switch,2017,
super mario maker 2,ENEMY_IN,flutter,,Switch,2019,
paper mario,ENEMY_IN,frost piranha,,N64,2000,1.38
paper mario: the thousand-year door,ENEMY_IN,frost piranha,,GC,2004,2.25
paper mario: the thousand-year door,ENEMY_IN,frost piranha,,Switch,2024,2.25
super paper mario,ENEMY_IN,frost piranha,,Wii,2007,3.71
mario party 3,ENEMY_IN,galoomba,,N64,2000,1.91
super mario advance 4: super mario bros. 3,ENEMY_IN,galoomba,,GBA,2003,
mario party advance,ENEMY_IN,galoomba,,GBA,2005,0.98
mario party 10,ENEMY_IN,galoomba,,WiiU,2015,1.58
mario party: star rush,ENEMY_IN,galoomba,,3DS,2016,0.3
super mario maker 2,ENEMY_IN,galoomba,,Switch,2019,
super mario party,ENEMY_IN,galoomba,,Switch,2018,
mario party superstars,ENEMY_IN,galoomba,,Switch,2021,
super mario party jamboree,ENEMY_IN,galoomba,,Switch,2024,
super mario world,ENEMY_IN,fuzzy,,SNES,1990,26.07
super mario world,ENEMY_IN,fuzzy,,Arcade,1993,26.07
mario party: island tour,ENEMY_IN,fuzzy,,3DS,2013,1.92
paper mario,ENEMY_IN,fuzzy,,N64,2000,1.38
new super mario bros. wii,ENEMY_IN,fuzzy,,Wii,2009,28.32
mario kart tour,ENEMY_IN,fuzzy,,Mobile,2019,
mario party 10,ENEMY_IN,fuzzy,,WiiU,2015,1.58
paper mario: the thousand-year door,ENEMY_IN,fuzzy,,GC,2004,2.25
paper mario: the thousand-year door,ENEMY_IN,fuzzy,,Switch,2024,2.25
super mario galaxy 2,ENEMY_IN,fuzzy,,Wii,2010,7.51
mario party: star rush,ENEMY_IN,fuzzy,,3DS,2016,0.3
super paper mario,ENEMY_IN,fuzzy,,Wii,2007,3.71
super mario 3d land,ENEMY_IN,fuzzy,,3DS,2011,10.81
super mario party,ENEMY_IN,fuzzy,,Switch,2018,
paper mario: sticker star,ENEMY_IN,fuzzy,,3DS,2012,2.3
new super mario bros. 2,ENEMY_IN,fuzzy,,3DS,2012,9.9
super mario party jamboree,ENEMY_IN,fuzzy,,Switch,2024,
paper mario: color splash,ENEMY_IN,fuzzy,,WiiU,2016,0.42
paper mario: the origami king,ENEMY_IN,fuzzy,,Switch,2020,
super mario run,ENEMY_IN,fuzzy,,Mobile,2016,
super mario run,ENEMY_IN,fuzzy,,Mobile,2017,
super mario odyssey,ENEMY_IN,fuzzy,,Switch,2017,
mario & luigi: superstar saga + bowser's minions,ENEMY_IN,gold boo,,3DS,2017,
mario & luigi: bowser's inside story + bowser jr.'s journey,ENEMY_IN,gold boo,,3DS,2018,
mario party 4,ENEMY_IN,gold cheep cheep,,GC,2002,2.47
mario party 5,ENEMY_IN,gold cheep cheep,,GC,2003,2.08
mario party 10,ENEMY_IN,gold cheep cheep,,WiiU,2015,1.58
mario party: star rush,ENEMY_IN,gold cheep cheep,,3DS,2016,0.3
super mario party,ENEMY_IN,gold cheep cheep,,Switch,2018,
mario party 10,ENEMY_IN,gold piranha plant,,WiiU,2015,1.58
mario party: star rush,ENEMY_IN,gold piranha plant,,3DS,2016,0.3
new super mario bros. 2,ENEMY_IN,bone goomba,,3DS,2012,9.9
paper mario: color splash,ENEMY_IN,bone goomba,,WiiU,2016,0.42
super mario bros. wonder,ENEMY_IN,bone goomba,,Switch,2023,
paper mario: the origami king,ENEMY_IN,bone goomba,,Switch,2020,
new super mario bros. 2,ENEMY_IN,gold goomba,,3DS,2012,9.9
mario party 5,ENEMY_IN,gold goomba,,GC,2003,2.08
super mario run,ENEMY_IN,gold goomba,,Mobile,2016,
super mario run,ENEMY_IN,gold goomba,,Mobile,2017,
mario party 7,ENEMY_IN,gold goomba,,GC,2005,1.57
mario party ds,ENEMY_IN,gold goomba,,DS,2007,8.91
mario party: island tour,ENEMY_IN,gold goomba,,3DS,2013,1.92
super mario party,ENEMY_IN,gold goomba,,Switch,2018,
super mario party jamboree,ENEMY_IN,gold goomba,,Switch,2024,
super mario bros. 3,ENEMY_IN,mega goomba,,NES,1988,22.48
super mario bros. 3,ENEMY_IN,mega goomba,,Game & Watch,1990,22.48
mario party 10,ENEMY_IN,mega goomba,,WiiU,2015,1.58
mario party: star rush,ENEMY_IN,mega goomba,,3DS,2016,0.3
new super mario bros.,ENEMY_IN,mega goomba,,DS,2006,29.8
super mario galaxy,ENEMY_IN,mega goomba,,Wii,2007,11.35
new super mario bros. wii,ENEMY_IN,mega goomba,,Wii,2009,28.32
super mario galaxy 2,ENEMY_IN,mega goomba,,Wii,2010,7.51
super mario 3d land,ENEMY_IN,mega goomba,,3DS,2011,10.81
new super mario bros. u,ENEMY_IN,mega goomba,,WiiU,2012,5.22
super mario bros. wonder,ENEMY_IN,mega goomba,,Switch,2023,
mario kart tour,ENEMY_IN,innertube goomba,,Mobile,2019,
mario kart 8 deluxe,ENEMY_IN,innertube goomba,,Switch,2017,
super mario 3d land,ENEMY_IN,goomba tower,,3DS,2011,10.81
mario party 9,ENEMY_IN,goomba tower,,Wii,2012,3.13
mario & luigi: paper jam,ENEMY_IN,goomba tower,,3DS,2015,0.76
paper mario: sticker star,ENEMY_IN,goomba tower,,3DS,2012,2.3
new super mario bros. 2,ENEMY_IN,goomba tower,,3DS,2012,9.9
mario kart tour,ENEMY_IN,goomba tower,,Mobile,2019,
mario party: island tour,ENEMY_IN,goomba tower,,3DS,2013,1.92
mario & luigi: superstar saga + bowser's minions,ENEMY_IN,goomba tower,,3DS,2017,
paper mario: color splash,ENEMY_IN,goomba tower,,WiiU,2016,0.42
mario party 10,ENEMY_IN,goomba tower,,WiiU,2015,1.58
mario & luigi: bowser's inside story + bowser jr.'s journey,ENEMY_IN,goomba tower,,3DS,2018,
mario party superstars,ENEMY_IN,goomba tower,,Switch,2021,
mario & luigi: brothership,ENEMY_IN,goomba tower,,Switch,2024,
super mario odyssey,ENEMY_IN,goomba tower,,Switch,2017,
super mario party jamboree,ENEMY_IN,goomba tower,,Switch,2024,
mario kart: super circuit,ENEMY_IN,goomba,,GBA,2001,5.47
mario party,ENEMY_IN,goomba,,N64,1998,2.7
super smash bros. melee,ENEMY_IN,goomba,,GC,2001,14.14
paper mario,ENEMY_IN,goomba,,N64,2000,1.38
super mario bros. 3,ENEMY_IN,goomba,,NES,1988,22.48
super mario bros. 3,ENEMY_IN,goomba,,Game & Watch,1990,22.48
mario party 2,ENEMY_IN,goomba,,N64,1999,2.5
mario & luigi: partners in time,ENEMY_IN,goomba,,DS,2005,1.29
super smash bros. brawl,ENEMY_IN,goomba,,Wii,2008,12.84
paper mario: the thousand-year door,ENEMY_IN,goomba,,GC,2004,2.25
paper mario: the thousand-year door,ENEMY_IN,goomba,,Switch,2024,2.25
super mario land,ENEMY_IN,goomba,,GB,1989,18.14
mario kart ds,ENEMY_IN,goomba,,DS,2005,23.21
mario party 3,ENEMY_IN,goomba,,N64,2000,1.91
super paper mario,ENEMY_IN,goomba,,Wii,2007,3.71
super mario world,ENEMY_IN,goomba,,SNES,1990,26.07
super mario world,ENEMY_IN,goomba,,Arcade,1993,26.07
mario kart wii,ENEMY_IN,goomba,,Wii,2008,35.52
mario party 4,ENEMY_IN,goomba,,GC,2002,2.47
mario & luigi: dream team,ENEMY_IN,goomba,,3DS,2013,2.08
super smash bros. ultimate,ENEMY_IN,goomba,,Switch,2018,
paper mario: sticker star,ENEMY_IN,goomba,,3DS,2012,2.3
super mario land 2: 6 golden coins,ENEMY_IN,goomba,,GB,1992,11.18
mario kart 7,ENEMY_IN,goomba,,3DS,2011,12.66
mario party 5,ENEMY_IN,goomba,,GC,2003,2.08
mario & luigi: paper jam,ENEMY_IN,goomba,,3DS,2015,0.76
paper mario: color splash,ENEMY_IN,goomba,,WiiU,2016,0.42
mario party 6,ENEMY_IN,goomba,,GC,2004,1.65
mario & luigi: brothership,ENEMY_IN,goomba,,Switch,2024,
paper mario: the origami king,ENEMY_IN,goomba,,Switch,2020,
new super mario bros.,ENEMY_IN,goomba,,DS,2006,29.8
mario kart tour,ENEMY_IN,goomba,,Mobile,2019,
mario party advance,ENEMY_IN,goomba,,GBA,2005,0.98
super mario galaxy,ENEMY_IN,goomba,,Wii,2007,11.35
mario kart world,ENEMY_IN,goomba,,Switch 2,2025,
mario party 7,ENEMY_IN,goomba,,GC,2005,1.57
new super mario bros. wii,ENEMY_IN,goomba,,Wii,2009,28.32
mario party 8,ENEMY_IN,goomba,,Wii,2007,8.27
super mario galaxy 2,ENEMY_IN,goomba,,Wii,2010,7.51
mario party ds,ENEMY_IN,goomba,,DS,2007,8.91
super mario 3d land,ENEMY_IN,goomba,,3DS,2011,10.81
mario party 9,ENEMY_IN,goomba,,Wii,2012,3.13
new super mario bros. 2,ENEMY_IN,goomba,,3DS,2012,9.9
mario party: island tour,ENEMY_IN,goomba,,3DS,2013,1.92
new super mario bros. u,ENEMY_IN,goomba,,WiiU,2012,5.22
mario party 10,ENEMY_IN,goomba,,WiiU,2015,1.58
mario party: star rush,ENEMY_IN,goomba,,3DS,2016,0.3
super mario party,ENEMY_IN,goomba,,Switch,2018,
super mario run,ENEMY_IN,goomba,,Mobile,2016,
super mario run,ENEMY_IN,goomba,,Mobile,2017,
mario party superstars,ENEMY_IN,goomba,,Switch,2021,
super mario odyssey,ENEMY_IN,goomba,,Switch,2017,
super mario party jamboree,ENEMY_IN,goomba,,Switch,2024,
super mario bros. 35,ENEMY_IN,goomba,,Switch,2020,
super mario bros. wonder,ENEMY_IN,goomba,,Switch,2023,
super mario galaxy 2,ENEMY_IN,big paragoomba,,Wii,2010,7.51
super paper mario,ENEMY_IN,mini goomba,,Wii,2007,3.71
paper mario: color splash,ENEMY_IN,mini goomba,,WiiU,2016,0.42
new super mario bros.,ENEMY_IN,mini goomba,,DS,2006,29.8
paper mario: the origami king,ENEMY_IN,mini goomba,,Switch,2020,
super mario galaxy,ENEMY_IN,mini goomba,,Wii,2007,11.35
new super mario bros. wii,ENEMY_IN,mini goomba,,Wii,2009,28.32
super mario galaxy 2,ENEMY_IN,mini goomba,,Wii,2010,7.51
new super mario bros. 2,ENEMY_IN,mini goomba,,3DS,2012,9.9
super mario odyssey,ENEMY_IN,mini goomba,,Switch,2017,
super mario bros. 3,ENEMY_IN,paragoomba,,NES,1988,22.48
super mario bros. 3,ENEMY_IN,paragoomba,,Game & Watch,1990,22.48
mario & luigi: paper jam,ENEMY_IN,paragoomba,,3DS,2015,0.76
paper mario,ENEMY_IN,paragoomba,,N64,2000,1.38
super mario world,ENEMY_IN,paragoomba,,SNES,1990,26.07
super mario world,ENEMY_IN,paragoomba,,Arcade,1993,26.07
mario & luigi: superstar saga + bowser's minions,ENEMY_IN,paragoomba,,3DS,2017,
paper mario: the thousand-year door,ENEMY_IN,paragoomba,,GC,2004,2.25
paper mario: the thousand-year door,ENEMY_IN,paragoomba,,Switch,2024,2.25
super mario land 2: 6 golden coins,ENEMY_IN,paragoomba,,GB,1992,11.18
mario & luigi: bowser's inside story + bowser jr.'s journey,ENEMY_IN,paragoomba,,3DS,2018,
super paper mario,ENEMY_IN,paragoomba,,Wii,2007,3.71
new super mario bros.,ENEMY_IN,paragoomba,,DS,2006,29.8
paper mario: sticker star,ENEMY_IN,paragoomba,,3DS,2012,2.3
new super mario bros. wii,ENEMY_IN,paragoomba,,Wii,2009,28.32
paper mario: color splash,ENEMY_IN,paragoomba,,WiiU,2016,0.42
super mario galaxy 2,ENEMY_IN,paragoomba,,Wii,2010,7.51
paper mario: the origami king,ENEMY_IN,paragoomba,,Switch,2020,
super mario 3d land,ENEMY_IN,paragoomba,,3DS,2011,10.81
new super mario bros. 2,ENEMY_IN,paragoomba,,3DS,2012,9.9
new super mario bros. u,ENEMY_IN,paragoomba,,WiiU,2012,5.22
super mario odyssey,ENEMY_IN,paragoomba,,Switch,2017,
mario & luigi: dream team,ENEMY_IN,big tail goomba,,3DS,2013,2.08
mario & luigi: paper jam,ENEMY_IN,big tail goomba,,3DS,2015,0.76
mario & luigi: superstar saga + bowser's minions,ENEMY_IN,big tail goomba,,3DS,2017,
mario & luigi: bowser's inside story + bowser jr.'s journey,ENEMY_IN,big tail goomba,,3DS,2018,
mario kart tour,ENEMY_IN,shoe goomba,,Mobile,2019,
super mario 3d world,ENEMY_IN,shoe goomba,,WiiU,2013,4.32
mario kart 8 deluxe,ENEMY_IN,shoe goomba,,Switch,2017,
super mario maker 2,ENEMY_IN,shoe goomba,,Switch,2019,
mario party 10,ENEMY_IN,goombrat,,WiiU,2015,1.58
super mario run,ENEMY_IN,goombrat,,Mobile,2016,
super mario run,ENEMY_IN,goombrat,,Mobile,2017,
mario party: star rush,ENEMY_IN,goombrat,,3DS,2016,0.3
super mario maker 2,ENEMY_IN,goombrat,,Switch,2019,
super mario party jamboree,ENEMY_IN,goombrat,,Switch,2024,
super mario bros. wonder,ENEMY_IN,goombrat,,Switch,2023,
vs. wrecking crew,ENEMY_IN,gotchawrench,,Arcade,1984,
wrecking crew,ENEMY_IN,gotchawrench,,NES,1985,0.51
wrecking crew '98,ENEMY_IN,gotchawrench,,SNES,1998,
yoshi's story,ENEMY_IN,goonie,,N64,1997,2.85
yoshi touch & go,ENEMY_IN,goonie,,DS,2005,0.38
yoshi's island ds,ENEMY_IN,goonie,,DS,2006,2.76
yoshi's new island,ENEMY_IN,goonie,,3DS,2014,1.38
yoshi's crafted world,ENEMY_IN,goonie,,Switch,2019,
super mario maker,ENEMY_IN,greenie,,WiiU,2015,3.21
super mario run,ENEMY_IN,greenie,,Mobile,2016,
super mario run,ENEMY_IN,greenie,,Mobile,2017,
luigi's mansion arcade,ENEMY_IN,greenie,,Arcade,2015,
mario & luigi: dream team,ENEMY_IN,green magikoopa,,3DS,2013,2.08
paper mario,ENEMY_IN,green magikoopa,,N64,2000,1.38
mario & luigi: superstar saga + bowser's minions,ENEMY_IN,green magikoopa,,3DS,2017,
paper mario: the thousand-year door,ENEMY_IN,green magikoopa,,GC,2004,2.25
paper mario: the thousand-year door,ENEMY_IN,green magikoopa,,Switch,2024,2.25
mario & luigi: bowser's inside story + bowser jr.'s journey,ENEMY_IN,green magikoopa,,3DS,2018,
mario party 10,ENEMY_IN,grrrol,,WiiU,2015,1.58
super mario party,ENEMY_IN,grrrol,,Switch,2018,
super mario party jamboree,ENEMY_IN,grrrol,,Switch,2024,
super mario world,ENEMY_IN,green shell,,SNES,1990,26.07
super mario world,ENEMY_IN,green shell,,Arcade,1993,26.07
super mario kart,ENEMY_IN,green shell,,SNES,1992,8.76
mario & luigi: partners in time,ENEMY_IN,green shell,,DS,2005,1.29
mario & sonic at the olympic games,ENEMY_IN,green shell,,Wii,2007,13.08
mario & sonic at the olympic games,ENEMY_IN,green shell,,DS,2008,13.08
super mario galaxy,ENEMY_IN,green shell,,Wii,2007,11.35
mario kart 64,ENEMY_IN,green shell,,N64,1996,9.87
mario & sonic at the olympic winter games,ENEMY_IN,green shell,,Wii,2009,7.99
mario & sonic at the olympic winter games,ENEMY_IN,green shell,,DS,2009,7.99
super mario galaxy 2,ENEMY_IN,green shell,,Wii,2010,7.51
mario kart: double dash!!,ENEMY_IN,green shell,,GC,2003,13.9
mario & luigi: dream team,ENEMY_IN,green shell,,3DS,2013,2.08
mario & sonic at the london 2012 olympic games,ENEMY_IN,green shell,,Wii,2011,4.9
mario & sonic at the london 2012 olympic games,ENEMY_IN,green shell,,3DS,2012,4.9
super mario 3d land,ENEMY_IN,green shell,,3DS,2011,10.81
mario kart ds,ENEMY_IN,green shell,,DS,2005,23.21
mario & luigi: brothership,ENEMY_IN,green shell,,Switch,2024,
mario & sonic at the sochi 2014 olympic winter games,ENEMY_IN,green shell,,WiiU,2013,0.78
mario kart wii,ENEMY_IN,green shell,,Wii,2008,35.52
mario & sonic at the rio 2016 olympic games,ENEMY_IN,green shell,,WiiU,2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games,ENEMY_IN,green shell,,3DS,2016,0.8700000000000001
mario kart 7,ENEMY_IN,green shell,,3DS,2011,12.66
mario kart 8,ENEMY_IN,green shell,,WiiU,2014,14.18
mario kart tour,ENEMY_IN,green shell,,Mobile,2019,
mario kart world,ENEMY_IN,green shell,,Switch 2,2025,
mario kart: super circuit,ENEMY_IN,hammer bro,,GBA,2001,5.47
mario party,ENEMY_IN,hammer bro,,N64,1998,2.7
paper mario,ENEMY_IN,hammer bro,,N64,2000,1.38
super mario bros. 3,ENEMY_IN,hammer bro,,NES,1988,22.48
super mario bros. 3,ENEMY_IN,hammer bro,,Game & Watch,1990,22.48
mario kart wii,ENEMY_IN,hammer bro,,Wii,2008,35.52
mario party 2,ENEMY_IN,hammer bro,,N64,1999,2.5
mario & luigi: partners in time,ENEMY_IN,hammer bro,,DS,2005,1.29
paper mario: the thousand-year door,ENEMY_IN,hammer bro,,GC,2004,2.25
paper mario: the thousand-year door,ENEMY_IN,hammer bro,,Switch,2024,2.25
super mario world,ENEMY_IN,hammer bro,,SNES,1990,26.07
super mario world,ENEMY_IN,hammer bro,,Arcade,1993,26.07
mario kart 7,ENEMY_IN,hammer bro,,3DS,2011,12.66
mario party 3,ENEMY_IN,hammer bro,,N64,2000,1.91
mario & luigi: dream team,ENEMY_IN,hammer bro,,3DS,2013,2.08
super paper mario,ENEMY_IN,hammer bro,,Wii,2007,3.71
new super mario bros.,ENEMY_IN,hammer bro,,DS,2006,29.8
mario party 5,ENEMY_IN,hammer bro,,GC,2003,2.08
mario & luigi: paper jam,ENEMY_IN,hammer bro,,3DS,2015,0.76
paper mario: sticker star,ENEMY_IN,hammer bro,,3DS,2012,2.3
new super mario bros. wii,ENEMY_IN,hammer bro,,Wii,2009,28.32
mario kart tour,ENEMY_IN,hammer bro,,Mobile,2019,
mario party advance,ENEMY_IN,hammer bro,,GBA,2005,0.98
mario & luigi: bowser's inside story + bowser jr.'s journey,ENEMY_IN,hammer bro,,3DS,2018,
paper mario: color splash,ENEMY_IN,hammer bro,,WiiU,2016,0.42
super mario galaxy 2,ENEMY_IN,hammer bro,,Wii,2010,7.51
mario kart world,ENEMY_IN,hammer bro,,Switch 2,2025,
mario party 7,ENEMY_IN,hammer bro,,GC,2005,1.57
mario & luigi: brothership,ENEMY_IN,hammer bro,,Switch,2024,
paper mario: the origami king,ENEMY_IN,hammer bro,,Switch,2020,
super mario 3d land,ENEMY_IN,hammer bro,,3DS,2011,10.81
mario party 8,ENEMY_IN,hammer bro,,Wii,2007,8.27
