Game,Relation,Figure,Species,Console,Year,Sales
new super mario bros. 2,BOSS_IN,blooper,,3DS,2012,9.9
mario party 9,BOSS_IN,blooper,,Wii,2012,3.13
mario party: island tour,BOSS_IN,blooper,,3DS,2013,1.92
mario party 10,BOSS_IN,blooper,,WiiU,2015,1.58
mario party: star rush,BOSS_IN,blooper,,3DS,2016,0.3
super mario run,BOSS_IN,blooper,,Mobile,2016,
super mario run,BOSS_IN,blooper,,Mobile,2017,
mario party: the top 100,BOSS_IN,blooper,,3DS,2017,
super mario odyssey,BOSS_IN,blooper,,Switch,2017,
super mario party,BOSS_IN,blooper,,Switch,2018,
mario party superstars,BOSS_IN,blooper,,Switch,2021,
super mario party jamboree,BOSS_IN,blooper,,Switch,2024,
super mario party,BOSS_IN,boom boom,,Switch,2018,
super mario 3d land,BOSS_IN,boom boom,,3DS,2011,10.81
super mario party jamboree,BOSS_IN,boom boom,,Switch,2024,
super mario run,BOSS_IN,boom boom,,Mobile,2016,
super mario run,BOSS_IN,boom boom,,Mobile,2017,
super mario maker 2,BOSS_IN,boom boom,,Switch,2019,
super mario bros. 3,BOSS_IN,boomerang bro,,NES,1988,22.48
super mario bros. 3,BOSS_IN,boomerang bro,,Game & Watch,1990,22.48
mario kart 8,BOSS_IN,boomerang bro,,WiiU,2014,14.18
paper mario: the thousand-year door,BOSS_IN,boomerang bro,,GC,2004,2.25
paper mario: the thousand-year door,BOSS_IN,boomerang bro,,Switch,2024,2.25
new super mario bros.,BOSS_IN,boomerang bro,,DS,2006,29.8
mario kart tour,BOSS_IN,boomerang bro,,Mobile,2019,
mario & luigi: dream team,BOSS_IN,boomerang bro,,3DS,2013,2.08
super paper mario,BOSS_IN,boomerang bro,,Wii,2007,3.71
new super mario bros. wii,BOSS_IN,boomerang bro,,Wii,2009,28.32
mario & luigi: paper jam,BOSS_IN,boomerang bro,,3DS,2015,0.76
paper mario: sticker star,BOSS_IN,boomerang bro,,3DS,2012,2.3
super mario galaxy 2,BOSS_IN,boomerang bro,,Wii,2010,7.51
mario & luigi: bowser's inside story + bowser jr.'s journey,BOSS_IN,boomerang bro,,3DS,2018,
paper mario: color splash,BOSS_IN,boomerang bro,,WiiU,2016,0.42
super mario 3d land,BOSS_IN,boomerang bro,,3DS,2011,10.81
paper mario: the origami king,BOSS_IN,boomerang bro,,Switch,2020,
new super mario bros. 2,BOSS_IN,boomerang bro,,3DS,2012,9.9
super mario world 2: yoshi's island,BOSS_IN,bowser's castle,,SNES,1995,7.03
paper mario,BOSS_IN,bowser's castle,,N64,2000,1.38
super mario bros. 3,BOSS_IN,bowser's castle,,NES,1988,22.48
super mario bros. 3,BOSS_IN,bowser's castle,,Game & Watch,1990,22.48
mario & luigi: partners in time,BOSS_IN,bowser's castle,,DS,2005,1.29
yoshi's story,BOSS_IN,bowser's castle,,N64,1997,2.85
paper mario: the thousand-year door,BOSS_IN,bowser's castle,,GC,2004,2.25
paper mario: the thousand-year door,BOSS_IN,bowser's castle,,Switch,2024,2.25
super mario world,BOSS_IN,bowser's castle,,SNES,1990,26.07
super mario world,BOSS_IN,bowser's castle,,Arcade,1993,26.07
yoshi's island ds,BOSS_IN,bowser's castle,,DS,2006,2.76
super paper mario,BOSS_IN,bowser's castle,,Wii,2007,3.71
new super mario bros.,BOSS_IN,bowser's castle,,DS,2006,29.8
mario & luigi: dream team,BOSS_IN,bowser's castle,,3DS,2013,2.08
yoshi's new island,BOSS_IN,bowser's castle,,3DS,2014,1.38
paper mario: sticker star,BOSS_IN,bowser's castle,,3DS,2012,2.3
new super mario bros. wii,BOSS_IN,bowser's castle,,Wii,2009,28.32
mario & luigi: paper jam,BOSS_IN,bowser's castle,,3DS,2015,0.76
paper mario: color splash,BOSS_IN,bowser's castle,,WiiU,2016,0.42
super mario galaxy 2,BOSS_IN,bowser's castle,,Wii,2010,7.51
mario & luigi: brothership,BOSS_IN,bowser's castle,,Switch,2024,
yoshi's crafted world,BOSS_IN,bowser's castle,,Switch,2019,
paper mario: the origami king,BOSS_IN,bowser's castle,,Switch,2020,
super mario 3d land,BOSS_IN,bowser's castle,,3DS,2011,10.81
new super mario bros. 2,BOSS_IN,bowser's castle,,3DS,2012,9.9
new super mario bros. u,BOSS_IN,bowser's castle,,WiiU,2012,5.22
super mario run,BOSS_IN,bowser's castle,,Mobile,2016,
super mario run,BOSS_IN,bowser's castle,,Mobile,2017,
super mario odyssey,BOSS_IN,bowser's castle,,Switch,2017,
super mario maker 2,BOSS_IN,bowser's castle,,Switch,2019,
super mario bros. wonder,BOSS_IN,bowser's castle,,Switch,2023,
super mario sunshine,BOSS_IN,bowser jr.,koopa,GC,2002,6.31
mario kart: double dash!!,BOSS_IN,bowser jr.,koopa,GC,2003,13.9
mario party ds,BOSS_IN,bowser jr.,koopa,DS,2007,8.91
mario & luigi: dream team,BOSS_IN,bowser jr.,koopa,3DS,2013,2.08
super smash bros. brawl,BOSS_IN,bowser jr.,koopa,Wii,2008,12.84
paper mario: sticker star,BOSS_IN,bowser jr.,koopa,3DS,2012,2.3
mario golf: toadstool tour,BOSS_IN,bowser jr.,koopa,GC,2003,1.53
mario power tennis,BOSS_IN,bowser jr.,koopa,GC,2004,1.22
mario & sonic at the olympic winter games,BOSS_IN,bowser jr.,koopa,Wii,2009,7.99
mario & sonic at the olympic winter games,BOSS_IN,bowser jr.,koopa,DS,2009,7.99
new super mario bros.,BOSS_IN,bowser jr.,koopa,DS,2006,29.8
mario party 9,BOSS_IN,bowser jr.,koopa,Wii,2012,3.13
mario & luigi: paper jam,BOSS_IN,bowser jr.,koopa,3DS,2015,0.76
paper mario: the origami king,BOSS_IN,bowser jr.,koopa,Switch,2020,
mario golf: world tour,BOSS_IN,bowser jr.,koopa,3DS,2014,0.48
mario tennis open,BOSS_IN,bowser jr.,koopa,3DS,2012,0.95
mario & sonic at the london 2012 olympic games,BOSS_IN,bowser jr.,koopa,Wii,2011,4.9
mario & sonic at the london 2012 olympic games,BOSS_IN,bowser jr.,koopa,3DS,2012,4.9
