Character,Game,Relation,Species
Princess Daisy,Mario & Sonic at the Rio 2016 Olympic Games Arcade Edition,CHARACTER_IN,Human
Princess Daisy,Mario & Sonic at the Rio 2016 Olympic Games,CHARACTER_IN,Human
Princess Daisy,Minecraft: Wii U Edition (Patch 5),CHARACTER_IN,Human
Princess Daisy,Mario & Sonic at the Rio 2016 Olympic Games,CHARACTER_IN,Human
Princess Daisy,Mario Party: Star Rush,CHARACTER_IN,Human
Princess Daisy,Swapdoodle,CHARACTER_IN,Human
Princess Daisy,Miitomo,CHARACTER_IN,Human
Princess Daisy,Mario Sports Superstars,CHARACTER_IN,Human
Princess Daisy,Mario Kart 8 Deluxe,CHARACTER_IN,Human
Princess Daisy,Minecraft: Nintendo Switch Edition,CHARACTER_IN,Human
Princess Daisy,Mario Kart Arcade GP DX (version 1.10),CHARACTER_IN,Human
Princess Daisy,Hey! Pikmin,CHARACTER_IN,Human
Princess Daisy,Super Mario Run (version 3.0.4),CHARACTER_IN,Human
Princess Daisy,Mario Party: The Top 100,CHARACTER_IN,Human
Princess Daisy,Minecraft: New Nintendo 3DS Edition (version 1.5.25),CHARACTER_IN,Human
Princess Daisy,Minecraft: Bedrock Edition,CHARACTER_IN,Human
Princess Daisy,Mario Tennis Aces,CHARACTER_IN,Human
Princess Daisy,WarioWare Gold,CHARACTER_IN,Human
Princess Daisy,Super Mario Party,CHARACTER_IN,Human
Princess Daisy,Super Smash Bros. Ultimate,CHARACTER_IN,Human
Princess Daisy,Dr. Mario World,CHARACTER_IN,Human
Princess Daisy,Mario Kart Tour,CHARACTER_IN,Human
Princess Daisy,Luigi's Mansion 3,CHARACTER_IN,Human
Princess Daisy,Mario & Sonic at the Olympic Games Tokyo 2020,CHARACTER_IN,Human
Princess Daisy,Mario & Sonic at the Olympic Games Tokyo 2020 - Arcade Edition,CHARACTER_IN,Human
Princess Daisy,Clubhouse Games: 51 Worldwide Classics,CHARACTER_IN,Human
Princess Daisy,Mario Golf: Super Rush,CHARACTER_IN,Human
Princess Daisy,Mario Party Superstars,CHARACTER_IN,Human
Princess Daisy,Mario Strikers: Battle League (version 1.1.0),CHARACTER_IN,Human
Princess Daisy,Super Mario Bros. Wonder,CHARACTER_IN,Human
Princess Daisy,Super Mario Party Jamboree,CHARACTER_IN,Human
